Model,Config,R2,RMSE,MAE
Ridge,A,-0.30778495204969447,0.26426695636118736,0.20359906521943238
Ridge,B,0.9042977737092367,0.07148842274209895,0.052284482720718284
Ridge,C,-0.17469321960213358,0.25045916357756515,0.19285344147031036
PLS,A,-0.6041798708632515,0.29268551259665804,0.2204862570730603
PLS,B,0.8983549049185141,0.07367462061284354,0.05216817524926609
PLS,C,0.6248362002842549,0.14154194455574112,0.10895826852839581
SVR,A,0.045887867059541176,0.22572226742426948,0.175571098939751
SVR,B,0.6182613502511094,0.14277683858119464,0.08463723996313015
SVR,C,0.09491700588012342,0.2198461666006381,0.17202422732992115
XGBoost,A,-0.10803321694656143,0.2432490119572191,0.18526315784454345
XGBoost,B,-0.10803321694656143,0.2432490119572191,0.18526315784454345
XGBoost,C,-0.10803321694656143,0.2432490119572191,0.18526315784454345
MLP,A,-0.8495300465718902,0.3142717836793267,0.24573373625800016
MLP,B,0.567821774402973,0.15191691619140654,0.13297040534019472
MLP,C,-1.1305103725786423,0.3373001399437481,0.26637805943936116
CNN,A,0.30065121375218107,0.19325093669739293,0.1459030709862709
CNN,C,0.6875596196858015,0.12916899298654655,0.09841827559098601
