Model,Config,R2,RMSE,MAE
Ridge,A,0.11603256625674063,0.21726652970332036,0.18860869783888407
Ridge,B,0.9042977737092367,0.07148842274209895,0.052284482720718284
Ridge,C,0.7983981755276209,0.10375807934156024,0.07789972498639179
PLS,A,0.3495965939236977,0.18636574869830727,0.150835031562953
PLS,B,0.8983549049185141,0.07367462061284354,0.05216817524926609
PLS,C,0.7436651050959188,0.11699803298676793,0.08913069058606234
RF,A,0.4283953559355109,0.17471193318628175,0.14166024404761896
RF,B,0.7482647016597681,0.11594359260721018,0.08224999999999981
RF,C,0.49683167918203774,0.16391977153473586,0.13337
MLP,A,0.3181861297488401,0.19081284675116134,0.16064163812994955
MLP,B,0.8568676132081756,0.08742661257918102,0.062129911452531814
MLP,C,0.8149153590142274,0.09941682409572959,0.08820644617080689
