n_oes_features,removed_feature,remaining_features,R2,RMSE,MAE
13,,"I_309_OH,I_777_O,I_656_Ha,I_486_Hb,I_337_N2,I_406_CO2p,I_516_C2,band_OH_306_312,band_CO2p_398_412,band_CO_Hb_460_500,ratio_309_656,ratio_777_309,ratio_656_486",0.7983981755276209,0.10375807934156024,0.07789972498639179
12,I_309_OH,"I_777_O,I_656_Ha,I_486_Hb,I_337_N2,I_406_CO2p,I_516_C2,band_OH_306_312,band_CO2p_398_412,band_CO_Hb_460_500,ratio_309_656,ratio_777_309,ratio_656_486",0.8034325520774135,0.10245437172963405,0.07694659295138906
11,ratio_777_309,"I_777_O,I_656_Ha,I_486_Hb,I_337_N2,I_406_CO2p,I_516_C2,band_OH_306_312,band_CO2p_398_412,band_CO_Hb_460_500,ratio_309_656,ratio_656_486",0.7680212638460719,0.11130092762127326,0.08437631323586278
10,band_CO_Hb_460_500,"I_777_O,I_656_Ha,I_486_Hb,I_337_N2,I_406_CO2p,I_516_C2,band_OH_306_312,band_CO2p_398_412,ratio_309_656,ratio_656_486",0.8219469387356446,0.09751005858155269,0.07245254215630298
9,I_777_O,"I_656_Ha,I_486_Hb,I_337_N2,I_406_CO2p,I_516_C2,band_OH_306_312,band_CO2p_398_412,ratio_309_656,ratio_656_486",0.8558509490918872,0.08773655718994294,0.06500084588635638
8,I_406_CO2p,"I_656_Ha,I_486_Hb,I_337_N2,I_516_C2,band_OH_306_312,band_CO2p_398_412,ratio_309_656,ratio_656_486",0.8523949177582516,0.08878208713919493,0.06658110965634714
7,ratio_309_656,"I_656_Ha,I_486_Hb,I_337_N2,I_516_C2,band_OH_306_312,band_CO2p_398_412,ratio_656_486",0.8655971304535148,0.08471863807127597,0.0653925113281014
6,I_656_Ha,"I_486_Hb,I_337_N2,I_516_C2,band_OH_306_312,band_CO2p_398_412,ratio_656_486",0.8715159886518488,0.082832208047369,0.06344312276546442
5,band_OH_306_312,"I_486_Hb,I_337_N2,I_516_C2,band_CO2p_398_412,ratio_656_486",0.8895470403311808,0.07680038085370809,0.06043956720937723
4,I_337_N2,"I_486_Hb,I_516_C2,band_CO2p_398_412,ratio_656_486",0.8987943810067199,0.07351517707154183,0.057444707626390826
3,ratio_656_486,"I_486_Hb,I_516_C2,band_CO2p_398_412",0.8868452914925784,0.07773399892585496,0.06001226139045583
2,I_486_Hb,"I_516_C2,band_CO2p_398_412",0.9082487419252884,0.0699972066046044,0.05645888737462592
1,I_516_C2,band_CO2p_398_412,0.9176827989463111,0.06630098682122339,0.05218425533338911
0,band_CO2p_398_412,,0.9042977737092367,0.07148842274209895,0.052284482720718284
