step,type,model,n_oes_features,n_total_features,oes_features_kept,removed_feature,R2,RMSE,MAE,note,R2_mlp
13,backward_elimination,Ridge,13,17,"I_309_OH,I_777_O,I_656_Ha,I_486_Hb,I_337_N2,I_406_CO2p,I_516_C2,band_OH_306_312,band_CO2p_398_412,band_CO_Hb_460_500,ratio_309_656,ratio_777_309,ratio_656_486",None,0.7983981755276209,0.1037580793415602,0.0778997249863917,Full 13 OES,0.8149153590142274
12,backward_elimination,Ridge,12,16,"I_777_O,I_656_Ha,I_486_Hb,I_337_N2,I_406_CO2p,I_516_C2,band_OH_306_312,band_CO2p_398_412,band_CO_Hb_460_500,ratio_309_656,ratio_777_309,ratio_656_486",I_309_OH,0.8034325520774135,0.102454371729634,0.076946592951389,"R²=0.8034, removed: I_309_OH",0.6173575600473824
11,backward_elimination,Ridge,11,15,"I_777_O,I_656_Ha,I_486_Hb,I_337_N2,I_406_CO2p,I_516_C2,band_OH_306_312,band_CO2p_398_412,band_CO_Hb_460_500,ratio_309_656,ratio_656_486",ratio_777_309,0.7680212638460719,0.1113009276212732,0.0843763132358627,"R²=0.7680, removed: ratio_777_309",0.8156876033787802
10,backward_elimination,Ridge,10,14,"I_777_O,I_656_Ha,I_486_Hb,I_337_N2,I_406_CO2p,I_516_C2,band_OH_306_312,band_CO2p_398_412,ratio_309_656,ratio_656_486",band_CO_Hb_460_500,0.8219469387356446,0.0975100585815526,0.0724525421563029,"R²=0.8219, removed: band_CO_Hb_460_500",0.7652176814883507
9,backward_elimination,Ridge,9,13,"I_656_Ha,I_486_Hb,I_337_N2,I_406_CO2p,I_516_C2,band_OH_306_312,band_CO2p_398_412,ratio_309_656,ratio_656_486",I_777_O,0.8558509490918872,0.0877365571899429,0.0650008458863563,"R²=0.8559, removed: I_777_O",0.7575031630450485
8,backward_elimination,Ridge,8,12,"I_656_Ha,I_486_Hb,I_337_N2,I_516_C2,band_OH_306_312,band_CO2p_398_412,ratio_309_656,ratio_656_486",I_406_CO2p,0.8523949177582516,0.0887820871391949,0.0665811096563471,"R²=0.8524, removed: I_406_CO2p",0.7537172739538919
7,backward_elimination,Ridge,7,11,"I_656_Ha,I_486_Hb,I_337_N2,I_516_C2,band_OH_306_312,band_CO2p_398_412,ratio_656_486",ratio_309_656,0.8655971304535148,0.0847186380712759,0.0653925113281014,"R²=0.8656, removed: ratio_309_656",0.6619030636128391
6,backward_elimination,Ridge,6,10,"I_486_Hb,I_337_N2,I_516_C2,band_OH_306_312,band_CO2p_398_412,ratio_656_486",I_656_Ha,0.8715159886518488,0.082832208047369,0.0634431227654644,"R²=0.8715, removed: I_656_Ha",0.8250760306439773
5,backward_elimination,Ridge,5,9,"I_486_Hb,I_337_N2,I_516_C2,band_CO2p_398_412,ratio_656_486",band_OH_306_312,0.8895470403311808,0.076800380853708,0.0604395672093772,"R²=0.8895, removed: band_OH_306_312",0.8476731850515716
4,backward_elimination,Ridge,4,8,"I_486_Hb,I_516_C2,band_CO2p_398_412,ratio_656_486",I_337_N2,0.8987943810067199,0.0735151770715418,0.0574447076263908,"R²=0.8988, removed: I_337_N2",0.7030849304776137
3,backward_elimination,Ridge,3,7,"I_486_Hb,I_516_C2,band_CO2p_398_412",ratio_656_486,0.8868452914925784,0.0777339989258549,0.0600122613904558,"R²=0.8868, removed: ratio_656_486",0.8104389051863569
13,category,Ridge,13,17,"I_309_OH,I_777_O,I_656_Ha,I_486_Hb,I_337_N2,I_406_CO2p,I_516_C2,band_OH_306_312,band_CO2p_398_412,band_CO_Hb_460_500,ratio_309_656,ratio_777_309,ratio_656_486",All OES (13),0.7983981755276209,0.1037580793415602,0.0778997249863917,All OES (13),
7,category,Ridge,7,11,"I_309_OH,I_777_O,I_656_Ha,I_486_Hb,I_337_N2,I_406_CO2p,I_516_C2",Single-wavelength (7),0.8232480679225618,0.0971531261713552,0.0758091657053712,Single-wavelength (7),
3,category,Ridge,3,7,"band_OH_306_312,band_CO2p_398_412,band_CO_Hb_460_500",Band integrals (3),0.9052822242616596,0.0711197858700594,0.0537022558845391,Band integrals (3),
3,category,Ridge,3,7,"ratio_309_656,ratio_777_309,ratio_656_486",Ratios (3),0.9063196179778062,0.0707292448734409,0.0476269998986643,Ratios (3),
0,reference,Ridge,0,4,None (discharge only),Config B,0.904,0.071,,Discharge parameters only (4 features),
