Model,condition,n_samples,mean_residual,std_residual,mean_abs_residual
MLP,0 ns,1,0.10101566791534419,,0.10101566791534419
MLP,10 kHz,1,-0.11625023484230046,,0.11625023484230046
MLP,10 sccm,1,0.0029953241348266157,,0.0029953241348266157
MLP,100 ns,1,0.09464444398880006,,0.09464444398880006
MLP,100 sccm,1,0.10371761798858647,,0.10371761798858647
MLP,1000 ns,1,0.08702658414840697,,0.08702658414840697
MLP,150 ns,1,0.09702129721641539,,0.09702129721641539
MLP,1500 ns,1,-0.10419801592826844,,0.10419801592826844
MLP,2 kHz,1,-0.0681586146354675,,0.0681586146354675
MLP,20 sccm,1,-0.052680921554565496,,0.052680921554565496
MLP,200 ns,1,0.00247533679008477,,0.00247533679008477
MLP,2000 ns,1,-0.20617838382720943,,0.20617838382720943
MLP,250 ns,1,-0.07233757257461548,,0.07233757257461548
MLP,4 kHz,1,0.0987993323802948,,0.0987993323802948
MLP,50 ns,1,0.02412186861038207,,0.02412186861038207
MLP,50 sccm,1,-0.11856041431427,,0.11856041431427
MLP,500 ns,1,0.12082955360412595,,0.12082955360412595
MLP,6 kHz,1,0.05198771834373467,,0.05198771834373467
MLP,75 sccm,1,-0.10565531015396123,,0.10565531015396123
MLP,8 kHz,1,0.13547471046447757,,0.13547471046447757
Ridge,0 ns,1,-0.0284786262156072,,0.0284786262156072
Ridge,10 kHz,1,-0.026542548254239517,,0.026542548254239517
Ridge,10 sccm,1,0.014734077044456728,,0.014734077044456728
Ridge,100 ns,1,-0.021340010627800166,,0.021340010627800166
Ridge,100 sccm,1,0.1578198214708848,,0.1578198214708848
Ridge,1000 ns,1,0.07451763826914487,,0.07451763826914487
Ridge,150 ns,1,0.12573307722397897,,0.12573307722397897
Ridge,1500 ns,1,0.044014577329258064,,0.044014577329258064
Ridge,2 kHz,1,-0.06582276722658881,,0.06582276722658881
Ridge,20 sccm,1,-0.031217351465108012,,0.031217351465108012
Ridge,200 ns,1,0.018160475852621205,,0.018160475852621205
Ridge,2000 ns,1,-0.25099073415444406,,0.25099073415444406
Ridge,250 ns,1,-0.2070952229433356,,0.2070952229433356
Ridge,4 kHz,1,0.08187417858984199,,0.08187417858984199
Ridge,50 ns,1,0.013270230668499694,,0.013270230668499694
Ridge,50 sccm,1,-0.13725278341831348,,0.13725278341831348
Ridge,500 ns,1,0.04312758981465875,,0.04312758981465875
Ridge,6 kHz,1,0.0016773487672374077,,0.0016773487672374077
Ridge,75 sccm,1,-0.06940931446751875,,0.06940931446751875
Ridge,8 kHz,1,0.1449161259242977,,0.1449161259242977
