Model,Config,Sample,y_true,y_pred,residual,abs_residual,condition,sheet,is_outlier
Ridge,C,0,0.45,0.4632702306684997,0.013270230668499694,0.013270230668499694,50 ns,rise time,False
Ridge,C,1,0.42,0.3986599893721998,-0.021340010627800166,0.021340010627800166,100 ns,rise time,False
Ridge,C,2,0.39,0.515733077223979,0.12573307722397897,0.12573307722397897,150 ns,rise time,False
Ridge,C,3,0.39,0.4081604758526212,0.018160475852621205,0.018160475852621205,200 ns,rise time,False
Ridge,C,4,0.38,0.1729047770566644,-0.2070952229433356,0.2070952229433356,250 ns,rise time,False
Ridge,C,5,0.02,-0.0084786262156072,-0.0284786262156072,0.0284786262156072,0 ns,pluse width,False
Ridge,C,6,0.28,0.3231275898146588,0.04312758981465875,0.04312758981465875,500 ns,pluse width,False
Ridge,C,7,0.45,0.5245176382691449,0.07451763826914487,0.07451763826914487,1000 ns,pluse width,False
Ridge,C,8,0.57,0.614014577329258,0.044014577329258064,0.044014577329258064,1500 ns,pluse width,False
Ridge,C,9,0.83,0.5790092658455559,-0.25099073415444406,0.25099073415444406,2000 ns,pluse width,True
Ridge,C,10,0.05,-0.0158227672265888,-0.06582276722658881,0.06582276722658881,2 kHz,frequency,False
Ridge,C,11,0.11,0.191874178589842,0.08187417858984199,0.08187417858984199,4 kHz,frequency,False
Ridge,C,12,0.27,0.2716773487672374,0.0016773487672374077,0.0016773487672374077,6 kHz,frequency,False
Ridge,C,13,0.47,0.6149161259242977,0.1449161259242977,0.1449161259242977,8 kHz,frequency,False
Ridge,C,14,0.55,0.5234574517457605,-0.026542548254239517,0.026542548254239517,10 kHz,frequency,False
Ridge,C,15,0.3,0.3147340770444567,0.014734077044456728,0.014734077044456728,10 sccm,flow rate,False
Ridge,C,16,0.45,0.418782648534892,-0.031217351465108012,0.031217351465108012,20 sccm,flow rate,False
Ridge,C,17,0.73,0.5927472165816865,-0.13725278341831348,0.13725278341831348,50 sccm,flow rate,False
Ridge,C,18,0.81,0.7405906855324813,-0.06940931446751875,0.06940931446751875,75 sccm,flow rate,False
Ridge,C,19,0.82,0.9778198214708848,0.1578198214708848,0.1578198214708848,100 sccm,flow rate,False
MLP,C,0,0.45,0.4741218686103821,0.02412186861038207,0.02412186861038207,50 ns,rise time,False
MLP,C,1,0.42,0.5146444439888,0.09464444398880006,0.09464444398880006,100 ns,rise time,False
MLP,C,2,0.39,0.4870212972164154,0.09702129721641539,0.09702129721641539,150 ns,rise time,False
MLP,C,3,0.39,0.3924753367900848,0.00247533679008477,0.00247533679008477,200 ns,rise time,False
MLP,C,4,0.38,0.3076624274253845,-0.07233757257461548,0.07233757257461548,250 ns,rise time,False
MLP,C,5,0.02,0.1210156679153442,0.10101566791534419,0.10101566791534419,0 ns,pluse width,False
MLP,C,6,0.28,0.400829553604126,0.12082955360412595,0.12082955360412595,500 ns,pluse width,False
MLP,C,7,0.45,0.537026584148407,0.08702658414840697,0.08702658414840697,1000 ns,pluse width,False
MLP,C,8,0.57,0.4658019840717315,-0.10419801592826844,0.10419801592826844,1500 ns,pluse width,False
MLP,C,9,0.83,0.6238216161727905,-0.20617838382720943,0.20617838382720943,2000 ns,pluse width,True
MLP,C,10,0.05,-0.0181586146354675,-0.0681586146354675,0.0681586146354675,2 kHz,frequency,False
MLP,C,11,0.11,0.2087993323802948,0.0987993323802948,0.0987993323802948,4 kHz,frequency,False
MLP,C,12,0.27,0.3219877183437347,0.05198771834373467,0.05198771834373467,6 kHz,frequency,False
MLP,C,13,0.47,0.6054747104644775,0.13547471046447757,0.13547471046447757,8 kHz,frequency,False
MLP,C,14,0.55,0.4337497651576996,-0.11625023484230046,0.11625023484230046,10 kHz,frequency,False
MLP,C,15,0.3,0.3029953241348266,0.0029953241348266157,0.0029953241348266157,10 sccm,flow rate,False
MLP,C,16,0.45,0.3973190784454345,-0.052680921554565496,0.052680921554565496,20 sccm,flow rate,False
MLP,C,17,0.73,0.61143958568573,-0.11856041431427,0.11856041431427,50 sccm,flow rate,False
MLP,C,18,0.81,0.7043446898460388,-0.10565531015396123,0.10565531015396123,75 sccm,flow rate,False
MLP,C,19,0.82,0.9237176179885864,0.10371761798858647,0.10371761798858647,100 sccm,flow rate,False
