Model,feature,correlation,p_value
Ridge,I_309_OH,0.12508837249615046,0.5992609819927359
Ridge,I_777_O,0.43513441297554123,0.055176804745026106
Ridge,I_656_Ha,-0.21301778224566162,0.3672077665015809
Ridge,I_486_Hb,0.06085734119307321,0.7988206142304781
Ridge,I_337_N2,0.17501396059379967,0.4605054683235979
Ridge,I_406_CO2p,0.3787833713710659,0.09957138876166408
Ridge,I_516_C2,0.03128979137810417,0.8958121204505426
Ridge,band_OH_306_312,0.12642686792947994,0.5953274921760623
Ridge,band_CO2p_398_412,0.42505579007287764,0.061728682246155284
Ridge,band_CO_Hb_460_500,0.2996628853080939,0.19928743246363007
Ridge,ratio_309_656,0.4032607292835799,0.07788889889479063
Ridge,ratio_777_309,0.18284811596260114,0.44034622829378256
Ridge,ratio_656_486,-0.29093675014796666,0.21332769176161298
Ridge,frequency_hz,0.04676126907775254,0.8447949979641918
Ridge,pulse_width_ns,0.4600509316878201,0.041250227697386226
Ridge,rise_time_ns,0.24578194782066887,0.2962415592415034
Ridge,flow_rate_sccm,0.2832772310841095,0.22617658883374991
MLP,I_309_OH,-0.09418460151569144,0.6928686686145624
MLP,I_777_O,0.2987172416926314,0.20077836732344612
MLP,I_656_Ha,-0.07286961588555085,0.7601335519504273
MLP,I_486_Hb,0.17356521666731387,0.4642843438123453
MLP,I_337_N2,0.1378453050307782,0.5622199109776652
MLP,I_406_CO2p,0.1652301218802023,0.48632826714482713
MLP,I_516_C2,-0.12322993746902607,0.6047401939143777
MLP,band_OH_306_312,-0.10599760283642419,0.6564863523684585
MLP,band_CO2p_398_412,0.17532730240630046,0.45969022690582806
MLP,band_CO_Hb_460_500,0.30392069567437574,0.19266606006942563
MLP,ratio_309_656,-0.0866609198049049,0.7163887745865498
MLP,ratio_777_309,0.23947104304575856,0.30920867480386827
MLP,ratio_656_486,-0.3540050971371843,0.12569420090190186
MLP,frequency_hz,0.13572036984916283,0.5683191105655718
MLP,pulse_width_ns,0.2986396411979693,0.2009010441664844
MLP,rise_time_ns,-0.2892239883639447,0.21615812154378866
MLP,flow_rate_sccm,0.20120370494288436,0.3949798718319966
